dataset,matrix_name,dataset_id,alignment_file,partition_file
Borowiec2015,Best108,Borowiec2015.Best108,Borowiec2015.Best108.aa.alignment.phy,Borowiec2015_partitions_formatted.nex
Chang2015,Chang_AA,Chang2015.Chang_AA,Chang2015.Chang_AA.aa.alignment.phy,Chang2015_partitions_formatted.nex
Dunn2008,Dunn2008_FixedNames,Dunn2008.Dunn2008_FixedNames,Dunn2008.Dunn2008_FixedNames.aa.alignment.fasta,Dunn2008_partitions_formatted.nex
Hejnol2009,Hejnol_etal_2009_FixedNames,Hejnol2009.Hejnol_etal_2009_FixedNames,Hejnol2009.Hejnol_etal_2009_FixedNames.aa.alignment.fasta,Hejnol2009_partitions_formatted.nex
Laumer2018,Tplx_BUSCOeuk,Laumer2018.Tplx_BUSCOeuk,Laumer2018.Tplx_BUSCOeuk.aa.alignment.phylip,Laumer2018_partitions_formatted.nex
Moroz2014,ED3d,Moroz2014.ED3d,Moroz2014.ED3d.aa.alignment.phy,Moroz2014_partitions_formatted.nex
Nosenko2013,nonribosomal_9187_smatrix,Nosenko2013.nonribosomal_9187_smatrix,Nosenko2013.nonribosomal_9187_smatrix.aa.alignment.phy,Nosenko2013_nonribosomal_partitions_formatted.nex
Nosenko2013,ribosomal_14615_smatrix,Nosenko2013.ribosomal_14615_smatrix,Nosenko2013.ribosomal_14615_smatrix.aa.alignment.phy,Nosenko2013_ribosomal_partitions_formatted.nex
Philippe2009,Philippe_etal_superalignment_FixedNames,Philippe2009.Philippe_etal_superalignment_FixedNames,Philippe2009.Philippe_etal_superalignment_FixedNames.aa.alignment.nex,Philippe2009_partitions_formatted.nex
Philippe2011,UPDUNN_MB_FixedNames,Philippe2011.UPDUNN_MB_FixedNames,Philippe2011.UPDUNN_MB_FixedNames.aa.alignment.nex,Philippe2011_partitions_formatted.nex
Ryan2013,REA_EST_includingXenoturbella,Ryan2013.REA_EST_includingXenoturbella,Ryan2013.REA_EST_includingXenoturbella.aa.alignment.fas,Ryan2013_partitions_formatted.nex
Simion2017,supermatrix_97sp_401632pos_1719genes,Simion2017.supermatrix_97sp_401632pos_1719genes,Simion2017.supermatrix_97sp_401632pos_1719genes.aa.alignment.fasta,Simion2017_partitions_formatted.nex
Whelan2015,Dataset10,Whelan2015.Dataset10,Whelan2015.Dataset10.aa.alignment.phy,Whelan2015_partitions_formatted.nex
Whelan2017,Metazoa_Choano_RCFV_strict,Whelan2017.Metazoa_Choano_RCFV_strict,Whelan2017.Metazoa_Choano_RCFV_strict.aa.alignment.fa,Whelan2017_partitions_formatted.nex